## mrna and ribosome profiling read counts for S. pombe 972h- genes
## Duncan C and Mata J (2017) Effects of cycloheximide on the interpretation of ribosome profiling experiments in Schizosaccharomyces pombe. Scientific reports 7:10331
## personal communication by Juan Mata <jm593@cam.ac.uk>, 2019
## 
Gene	wt.noN.CHX.ribo.cds.1	wt.N.CHX.ribo.cds.1	wt.noN.noCHX.ribo.cds.1	wt.N.noCHX.ribo.cds.1	wt.noN.CHX.ribo.cds.3	wt.N.CHX.ribo.cds.3	wt.noN.noCHX.ribo.cds.3	wt.N.noCHX.ribo.cds.3	wt.noN.CHX.mrna.cds.1	wt.N.CHX.mrna.cds.1	wt.noN.noCHX.mrna.cds.1	wt.N.noCHX.mrna.cds.1	wt.noN.CHX.mrna.cds.3	wt.N.CHX.mrna.cds.3	wt.noN.noCHX.mrna.cds.3	wt.N.noCHX.mrna.cds.3
SPAC212.06c	0.5	2	0.5	0.5	0.5	0.5	1	1	7	14	3	2	19	11	15	9
SPAC212.07c	3	5	0.5	1	2	1	1	0.5	1	3	2	1	6	9	4	4
SPAC212.08c	73	95	6	48	12	17	4	10	34	79	21	39	37	76	32	52
SPAC212.09c	1420	935	389	555	125	275	191	247	302	321	256	243	293	355	226	297
SPAC212.10	411	280	26	96	174	110	18	34	40	79	51	45	90	92	60	52
SPAC212.11	14	3	5	2	12	2	13	2	48	83	46	76	210	160	228	196
SPAC212.12	64	80	10	36	13	19	3	9	10	32	9	18	18	43	17	28
SPAC21E11.03c	2468	589	489	205	345	149	215	70	512	381	762	151	1140	408	792	269
SPAC21E11.04	5462	438	893	368	1528	155	1065	77	742	296	886	201	2344	560	2137	417
SPAC21E11.05c	304	476	63	200	49	161	46	92	755	1655	377	645	977	1546	506	675
SPAC21E11.06	1148	2210	193	1201	205	860	132	513	1050	2797	701	1273	1709	3832	1120	2002
SPAC21E11.07	352	176	29	94	57	63	25	28	486	747	365	357	567	731	352	368
SPAC21E11.08	5307	4003	973	1877	986	1536	785	780	1869	2866	1659	1174	6353	5914	4811	3890
SPAC222.03c	628	825	60	394	206	372	83	189	165	464	125	222	414	734	286	514
SPAC222.04c	775	378	128	178	151	166	109	103	187	365	153	183	475	556	282	410
SPAC222.05c	183	115	16	71	24	46	11	30	872	1370	737	726	1264	1367	1170	800
SPAC222.06	768	1502	66	716	132	481	50	245	584	2252	267	887	873	2239	493	1079
SPAC222.07c	222	313	45	176	33	133	30	58	670	1205	459	689	965	1394	644	937
SPAC222.08c	3418	1609	417	781	497	565	323	283	470	539	442	273	1520	1248	1245	737
SPAC222.09	2780	4450	455	1666	704	1712	454	709	687	2889	626	1014	2645	3999	1384	2119
SPAC222.10c	1009	599	152	234	188	262	143	109	1742	2485	935	1062	1994	2447	1131	1107
SPAC222.11	2223	2164	359	1127	578	947	460	468	467	1094	391	534	1740	2244	1275	1428
SPAC222.12c	45393	29775	9068	15941	7991	11201	6605	6330	7075	10649	8033	6464	20967	20622	19963	17082
SPAC222.13c	884	794	150	388	158	242	97	140	1212	1628	776	669	1952	1755	1367	1087
SPAC222.14c	2048	1816	433	1228	274	662	309	428	1496	2644	1043	1240	2782	3767	2069	2417
SPAC222.15	12	23	2	5	3	7	3	6	9	17	7	14	36	30	22	22
SPAC222.16c	282	296	45	151	48	123	32	61	96	219	73	80	353	484	230	288
SPAC222.17	204	182	42	90	36	79	26	27	127	238	78	131	179	316	122	191
SPAC222.18	299	149	57	99	81	64	39	33	287	302	178	152	437	343	340	228
SPAC222.19	926	349	139	204	214	146	116	64	245	209	163	121	412	252	295	165
SPAC227.01c	424	609	31	187	82	182	31	64	179	388	106	106	786	881	395	409
SPAC227.02c	246	598	34	344	56	239	36	153	98	553	43	252	197	722	121	382
SPAC227.03c	302	120	35	68	36	55	27	24	777	832	732	259	1484	1000	992	546
SPAC227.04	260	130	33	35	56	60	20	13	129	161	89	74	279	220	152	136
SPAC227.05	655	700	112	397	191	272	112	171	120	332	88	178	303	503	183	334
SPAC227.06	3025	1280	521	905	764	489	524	362	312	498	340	240	1361	1123	924	686
SPAC227.07c	3240	2046	735	1006	637	797	480	345	1355	1951	1074	971	2788	2820	1919	1629
SPAC227.08c	1505	540	139	239	273	212	102	97	195	217	105	76	569	518	362	241
SPAC227.09	498	635	68	260	90	219	52	87	613	1114	415	534	1076	1459	748	920
SPAC227.10	1056	785	180	476	203	354	149	225	122	211	82	110	341	506	248	344
SPAC227.11c	1180	650	127	305	185	243	98	117	567	750	355	348	908	866	544	488
SPAC227.12	748	388	126	282	136	160	83	95	542	819	289	327	911	1078	492	615
SPAC227.13c	6342	7888	878	3416	644	2941	431	1017	712	1996	584	957	991	2182	557	1474
SPAC227.14	1143	641	183	299	150	332	120	137	319	457	252	268	530	679	347	437
SPAC227.15	1356	643	307	322	244	271	202	140	2539	2425	1978	1264	3949	2859	2340	1742
SPAC227.16c	731	420	91	231	126	171	57	63	264	418	252	292	498	568	369	350
SPAC227.17c	329	359	32	275	102	156	41	112	65	195	46	98	168	345	130	222
SPAC227.18	8758	11670	1721	6963	2044	4624	1766	2560	1328	3845	1463	2134	5316	7544	4002	5130
SPAC227.19c	141	135	5	38	19	33	6	7	17	70	33	19	165	176	99	89
SPAC22A12.01c	761	709	129	327	87	282	62	97	490	960	301	350	1155	1625	675	735
SPAC22A12.02c	19	16	1	5	5	4	2	3	2	6	3	5	3	18	2	7
SPAC22A12.03c	223	258	30	136	31	115	21	56	184	520	137	210	440	828	310	465
SPAC22A12.04c	2709	30247	175	18951	348	14848	91	8041	426	2820	436	1575	918	4834	628	4229
SPAC22A12.05	260	600	16	127	72	210	4	40	22	79	14	23	117	339	55	217
SPAC22A12.06c	1268	1554	134	603	266	978	171	311	591	1877	298	410	2545	4944	1337	1799
SPAC22A12.07c	6489	5523	1329	2990	1111	1640	906	965	2198	3739	1924	1720	7882	9072	5973	6090
SPAC22A12.08c	3346	1702	838	885	437	430	454	264	1353	1611	1199	794	3158	2549	2628	1794
SPAC22A12.09c	662	600	151	304	118	203	103	103	1046	1662	680	798	1586	1785	870	957
SPAC22A12.10	4365	4753	748	2629	860	1441	790	967	713	1711	848	778	3271	3611	2683	2721
SPAC22A12.11	10317	6848	2737	3561	1010	2284	1192	1250	1880	2469	1634	1071	4412	4837	3170	3475
SPAC22A12.12c	1413	890	171	531	273	304	109	207	287	563	202	262	629	759	358	414
SPAC22A12.13	563	269	61	94	107	126	53	44	81	120	45	36	405	283	251	180
SPAC22A12.14c	558	1105	96	499	89	400	79	247	726	1620	468	989	712	1499	512	958
SPAC22A12.15c	11599	36394	2633	19619	2014	11431	2071	6200	3197	12047	2597	6501	9243	23839	6701	18816
SPAC22A12.16	8714	20020	1482	10610	1318	6789	1014	4227	1133	3579	1281	1946	4893	9060	3903	7390
SPAC22A12.17c	366	30	82	15	24	7	19	5	82	15	85	9	277	37	165	29
SPAC22E12.01	464	460	28	183	72	148	27	76	174	377	134	154	652	861	463	439
SPAC22E12.02	686	623	108	268	144	188	63	70	258	458	165	201	435	599	318	324
SPAC22E12.03c	9007	1576	1847	905	1396	535	1082	357	1164	604	1093	321	1925	881	1719	680
SPAC22E12.04	3164	1756	660	1008	327	631	314	379	695	1260	947	659	1105	1448	721	894
SPAC22E12.05c	3607	1964	428	926	814	669	513	425	402	753	422	327	1239	1200	925	745
SPAC22E12.06c	3107	1560	808	743	526	491	572	279	977	1016	687	429	2169	1594	1679	931
SPAC22E12.07	1899	2728	318	1667	418	985	306	660	739	2156	529	910	1834	3210	1194	1985
SPAC22E12.08	696	343	47	108	113	104	34	56	16	49	16	21	149	176	104	130
SPAC22E12.09c	1639	861	122	586	290	351	91	222	1244	1874	872	744	3828	3645	2759	2200
SPAC22E12.10c	2158	2696	445	1268	351	904	264	465	1417	2907	1215	1583	3147	4703	2377	3050
SPAC22E12.11c	383	584	76	216	102	256	89	105	2639	3847	1822	1344	5486	4384	3059	1999
SPAC22E12.13c	739	2160	39	828	133	779	24	294	232	1341	171	554	596	2126	330	1175
SPAC22E12.14c	501	974	98	430	81	303	97	151	1095	2359	846	952	2770	3299	1827	1775
SPAC22E12.16c	386	727	60	344	56	258	65	122	1814	3652	1294	1733	2992	4512	1946	2520
SPAC22E12.17c	4100	3617	813	2123	804	1376	616	768	932	2049	869	896	3262	4038	2284	2704
SPAC22E12.18	850	1197	108	675	140	407	121	275	555	1260	306	606	651	1138	443	621
SPAC22E12.19	955	772	158	322	179	316	139	132	1333	2261	635	817	2430	2716	1347	1225
SPAC22F3.02	5	2	0.5	0.5	1	1	0.5	2	46	20	64	11	103	18	96	11
SPAC22F3.03c	38	35	6	18	7	8	4	7	235	394	177	222	462	538	375	310
SPAC22F3.04	3	5	1	1	1	0.5	0.5	1	33	23	12	5	40	18	24	13
SPAC22F3.05c	672	171	73	130	111	46	63	56	258	363	167	208	307	326	221	208
SPAC22F3.06c	4017	3005	1080	1858	603	929	660	555	5698	7226	4101	3769	10405	10884	7793	7184
SPAC22F3.07c	2580	2461	618	1501	500	968	417	573	645	1217	827	837	1117	1390	864	1122
SPAC22F3.08c	527	704	73	348	67	249	52	136	653	1680	311	662	1192	1879	702	781
SPAC22F3.09c	981	240	115	96	167	85	99	44	1628	1281	1151	446	2833	1443	1824	630
SPAC22F3.10c	6079	3617	954	1675	765	1050	531	600	4537	4189	3495	1989	7352	5889	5294	3727
SPAC22F3.11c	485	223	53	130	65	83	32	32	225	270	134	127	327	317	191	186
SPAC22F3.12c	63	166	17	76	11	56	12	20	304	931	200	371	570	859	388	338
SPAC22F3.13	3401	1331	567	646	585	535	447	259	2944	2138	2370	996	6481	3314	4550	1973
SPAC22F3.15	203	237	40	147	36	84	38	55	40	127	32	77	115	234	85	133
SPAC22F8.02c	704	921	51	251	102	259	37	130	657	1172	428	476	1359	1480	542	680
SPAC22F8.03c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	2	0.5	1	2	3	1	5
SPAC22F8.04	2540	2175	407	876	401	780	301	262	791	1461	654	606	2235	2603	1414	1495
SPAC22F8.05	32502	1771	8875	884	2619	387	2817	173	9415	1242	9620	582	16208	1364	12979	1083
SPAC22F8.06	4015	2679	881	1466	633	1098	664	628	704	935	492	477	1764	1813	1543	1249
SPAC22F8.07c	158	195	22	78	23	76	20	35	491	942	341	442	751	1190	625	667
SPAC22F8.08	8074	7395	1623	3459	1334	2759	1077	1122	2609	4651	2645	2047	7683	7569	5207	5122
SPAC22F8.09	551	1209	90	567	92	476	70	229	1202	3162	530	1419	1654	3157	754	1543
SPAC22F8.10c	923	820	159	416	113	288	96	153	771	1580	463	605	1434	2111	772	975
SPAC22F8.11	89	292	21	129	18	99	21	45	1130	2307	788	1083	2202	3302	1589	1932
SPAC22F8.12c	600	336	112	180	147	164	102	89	473	645	381	381	718	631	477	434
SPAC22G7.01c	6774	3306	1598	1973	1375	1233	1325	709	2261	2262	2270	1151	5999	4129	4860	2783
SPAC22G7.02	980	750	130	348	269	253	204	138	1494	2444	1116	1035	4212	3727	3250	2111
SPAC22G7.03	105	72	6	35	19	19	10	11	63	122	28	70	78	120	49	70
SPAC22G7.04	634	1027	119	480	99	348	102	166	1518	2605	1090	1346	3255	3955	2307	2511
SPAC22G7.05	578	1752	79	1025	92	524	77	374	1062	3527	397	1734	1281	3350	556	1699
SPAC22G7.06c	4122	24401	824	11147	512	7481	437	3601	7618	29379	7582	16131	18357	46188	13964	38891
SPAC22G7.07c	108	63	9	23	26	26	6	12	446	389	320	223	591	507	538	325
SPAC22G7.08	5090	432	736	142	436	167	246	58	6665	1188	4119	346	6112	1332	3369	499
SPAC22G7.09c	1174	1434	274	865	266	637	225	304	1053	1943	716	1048	2108	2398	1432	1440
SPAC22G7.10	1240	1111	177	653	194	462	124	250	677	1577	563	729	1486	2209	1025	1459
SPAC22G7.11c	982	7	235	3	38	4	22	2	505	84	304	30	394	87	304	50
SPAC22H10.02	2266	373	502	219	334	180	296	85	162	165	141	60	641	324	414	211
SPAC22H10.03c	1870	1738	328	839	318	583	259	317	1227	2407	897	907	3539	4149	2186	2243
SPAC22H10.04	197	191	22	95	47	77	22	42	333	488	289	246	940	956	755	592
SPAC22H10.05c	1753	1226	81	581	297	454	76	219	749	1198	779	595	2195	2124	1835	1466
SPAC22H10.06c	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	2	4	3	2	2
SPAC22H10.07	724	647	112	266	134	225	115	106	469	920	232	288	1443	1499	728	598
SPAC22H10.08	633	879	89	419	95	258	68	156	524	1120	324	532	1081	1641	772	963
SPAC22H10.09	445	219	72	141	86	120	40	40	746	1193	624	533	2192	2033	1588	1080
SPAC22H10.10	181	144	45	72	45	66	31	30	263	461	207	254	576	601	465	396
SPAC22H10.11c	1904	1810	327	861	298	607	212	291	3054	4419	1621	1902	4431	4900	2195	2210
SPAC22H10.12c	8804	2899	2186	1975	1505	1022	1309	716	2275	2182	1894	1075	4985	3764	4005	2560
SPAC22H10.13	11370	293	4545	235	803	131	602	52	122	12	105	10	208	34	131	26
SPAC22H12.01c	4933	1870	1149	1142	702	612	700	457	706	666	631	253	1706	1014	1222	938
SPAC22H12.02	1887	2059	314	959	340	650	215	380	808	1478	607	840	1066	1784	899	1197
SPAC22H12.03	908	351	118	147	185	134	115	42	505	492	433	260	1129	618	907	428
SPAC22H12.04c	9070	20182	497	20786	1727	11167	276	7746	1721	8738	1727	5391	4928	18079	3819	15262
SPAC22H12.05c	1319	609	301	316	240	202	238	137	1250	1239	871	580	2345	1709	1644	894
SPAC23A1.02c	177	297	24	108	22	70	17	31	376	791	281	342	413	859	347	477
SPAC23A1.03	419	3141	60	1989	63	1403	59	774	51	696	31	337	197	2023	122	1392
SPAC23A1.04c	368	377	54	205	35	130	44	66	791	1243	523	543	1544	1833	1085	1022
SPAC23A1.05	2160	1308	309	558	408	492	275	206	101	190	91	79	831	668	556	479
SPAC23A1.06c	1212	663	181	273	200	225	105	101	1117	1399	689	440	1762	1695	953	647
SPAC23A1.07	255	313	12	71	47	108	17	33	307	544	209	251	637	713	446	428
SPAC23A1.08c	5049	26076	186	14143	925	11420	113	5035	323	2621	317	1484	1167	5752	840	4738
SPAC23A1.09	1086	700	199	396	184	256	125	136	166	258	161	141	460	539	367	320
SPAC23A1.10	49254	153203	5243	85363	5773	63760	2305	28349	4263	13012	4389	7238	14791	31101	11593	26586
SPAC23A1.11	3172	20912	176	15827	638	10588	112	6983	413	5288	629	2800	2218	10845	1614	9155
SPAC23A1.12c	4620	7608	676	4417	856	3043	486	1582	1742	4276	1970	2467	4305	6396	3256	4900
SPAC23A1.14c	7166	2728	1491	1333	1119	1062	947	462	1263	1022	1132	490	3244	2044	2279	1378
SPAC23A1.15c	995	590	161	220	220	160	142	98	354	416	212	128	955	788	534	423
SPAC23A1.16c	1095	194	68	75	117	63	40	30	99	64	55	25	265	146	143	74
SPAC23A1.17	10775	4224	2839	2226	2042	1607	1761	688	4225	4285	4633	2306	6881	4693	4654	3356
SPAC23A1.18c	2352	844	304	333	462	311	256	114	1468	1821	1254	714	2178	1786	1401	789
SPAC23A1.19c	383	270	71	179	57	116	36	73	1283	2091	995	1023	2471	2679	1931	1564
SPAC23A1.20	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
SPAC23C11.01	575	672	65	264	111	195	56	71	606	1050	475	429	1659	1667	1067	883
SPAC23C11.02c	7741	26485	536	13521	1272	12325	319	6007	442	2749	463	1556	2369	7858	1810	6916
SPAC23C11.03	647	1926	132	1005	102	692	65	328	1347	4658	674	2005	1641	4761	865	2277
SPAC23C11.04c	371	175	43	91	52	73	28	23	260	332	190	162	387	454	251	249
SPAC23C11.05	18234	24677	3554	17973	2846	10574	2085	7073	1395	4809	1876	2545	5657	10000	4436	8385
SPAC23C11.06c	2840	215	779	93	120	49	75	24	1508	468	1475	234	1682	602	1168	403
SPAC23C11.07	7	4	0.5	0.5	2	2	0.5	0.5	3	9	0.5	2	2	4	3	6
SPAC23C11.08	980	458	155	199	302	198	135	65	182	242	188	118	563	365	433	248
SPAC23C11.09	7617	11609	1512	6156	1218	3802	1073	2073	2692	6018	2486	3345	7199	11555	6045	8816
SPAC23C11.10	77	86	10	35	13	25	6	14	252	485	171	264	189	313	185	179
SPAC23C11.11	5220	4589	660	2003	842	1753	490	749	1565	2630	1289	1567	2493	3212	2098	2256
SPAC23C11.12	125	109	23	42	18	55	12	15	86	131	55	71	140	160	100	105
SPAC23C11.13c	13510	4010	2885	2123	2895	1705	1915	783	1102	963	854	430	4289	2219	3104	1540
SPAC23C11.14	3701	5213	694	2221	676	1768	632	721	1187	3063	1339	1689	2809	4158	2170	2936
SPAC23C11.15	1302	977	254	543	197	363	192	235	2068	2703	1623	1455	3132	3149	2151	1994
SPAC23C11.16	814	758	155	439	174	306	139	194	597	1508	283	489	1343	2291	874	1074
SPAC23C11.17	5129	3022	903	1698	1085	1079	810	627	1445	1830	1069	825	3603	3173	2615	1963
SPAC23C4.02	2681	4519	503	2426	390	1481	335	765	1084	2761	777	1660	2266	4257	1508	3063
SPAC23C4.03	192	198	33	91	26	83	24	33	1547	3302	1129	1888	3032	4852	2118	3314
SPAC23C4.04c	101	68	9	55	34	37	5	30	27	76	16	35	64	112	54	91
SPAC23C4.05c	6513	2252	1457	1255	884	754	792	401	2360	1675	2035	728	5280	2529	3838	1837
SPAC23C4.06c	422	527	72	205	52	159	36	74	232	619	149	299	478	878	334	583
SPAC23C4.07	8	11	0.5	2	1	5	1	3	20	40	15	19	39	51	32	46
SPAC23C4.08	3644	1546	559	717	690	484	553	336	874	905	659	570	1564	1147	1099	854
SPAC23C4.09c	584	796	107	573	150	313	78	224	139	341	95	204	372	755	256	554
SPAC23C4.10	780	446	95	164	128	190	78	77	709	1039	706	508	1229	1062	740	543
SPAC23C4.11	4826	2531	1044	1647	929	867	756	711	21	27	14	20	102	93	56	72
SPAC23C4.12	2742	1293	379	557	577	479	370	227	771	1081	718	452	1572	1223	1023	656
SPAC23C4.13	1182	718	218	405	422	291	370	179	94	157	63	69	332	294	278	166
SPAC23C4.14	832	727	92	375	104	256	73	128	571	929	391	492	1037	1344	691	756
SPAC23C4.15	1262	2235	140	1064	190	868	116	372	698	1781	445	849	1345	2263	844	1472
SPAC23C4.16c	3430	1090	474	467	468	322	271	162	1070	818	771	370	2483	1454	1728	913
SPAC23C4.17	436	1266	71	646	64	401	42	251	483	1820	269	783	864	2545	473	1413
SPAC23C4.18c	507	314	95	149	99	111	78	65	956	1326	630	472	1797	1773	1100	812
SPAC23C4.19	3502	3284	878	2195	525	1185	552	737	4177	5872	2746	3209	6397	7020	4481	4590
SPAC23D3.01	144	395	20	143	19	115	11	50	1258	2255	895	1263	1160	1611	749	865
SPAC23D3.02	1979	1219	254	563	269	529	160	292	552	812	361	393	1001	1292	618	803
SPAC23D3.03c	760	871	145	364	139	303	112	163	750	1556	557	611	1871	2519	1303	1292
SPAC23D3.04c	4968	7049	907	3513	748	2321	681	1146	719	1883	696	1151	3246	4941	2431	3461
SPAC23D3.05c	10	0.5	0.5	0.5	0.5	1	0.5	0.5	63	135	44	58	207	287	145	164
SPAC23D3.06c	1311	2764	311	1381	194	926	199	511	2791	4675	2078	2292	4964	6066	3347	3957
SPAC23D3.07	8313	4095	1879	2484	1231	1514	1213	967	1648	1879	1539	992	2928	2583	2469	1950
SPAC23D3.08	1174	907	144	501	266	456	112	211	435	951	399	467	1291	1701	902	1046
SPAC23D3.09	1829	1233	342	623	311	468	191	279	461	686	333	272	1660	1767	1066	1065
SPAC23D3.10c	1122	990	135	435	187	418	101	183	1346	2050	1082	849	3896	3370	2594	1940
SPAC23D3.11	2801	566	587	278	331	179	276	100	596	263	468	119	793	312	633	227
SPAC23D3.12	20788	8567	2589	3257	1654	2251	1282	1040	6466	5905	3756	2188	12822	8959	5446	4708
SPAC23D3.13c	1466	938	407	458	280	338	290	156	2974	3598	2451	1524	6641	5197	5256	3101
SPAC23D3.14c	73	26	8	16	23	19	11	10	460	555	439	289	711	584	520	372
SPAC23D3.16	512	263	64	153	135	153	66	68	23	40	20	15	68	95	40	70
SPAC23D3.17	808	263	192	171	86	125	78	77	208	144	157	87	355	238	252	175
SPAC23E2.01	1807	1165	533	592	429	421	362	182	2838	2467	2024	940	6777	2787	3298	1428
SPAC23E2.02	1284	870	236	391	249	379	169	134	1908	2412	1450	1085	3170	2503	1888	1532
SPAC23E2.03c	1554	484	264	169	381	153	305	65	454	447	355	129	687	404	299	175
SPAC23G3.01	5467	4271	725	2034	954	1601	663	807	4869	6552	3951	3154	10766	11189	8489	7565
SPAC23G3.02c	3359	1436	746	615	489	324	481	159	7401	6982	6621	4333	10836	6831	9497	6053
SPAC23G3.03	2279	979	539	556	299	325	238	164	950	932	917	515	2162	1380	1581	1025
SPAC23G3.04	460	392	83	165	68	157	56	55	229	601	123	202	409	667	229	278
SPAC23G3.05c	218	124	20	40	30	61	20	15	239	589	186	322	663	1018	392	530
SPAC23G3.06	3687	8880	420	4423	467	3266	290	1744	1291	4597	812	2251	3657	8981	2344	6230
SPAC23G3.07c	766	460	107	160	126	172	79	58	519	739	347	333	922	894	604	451
SPAC23G3.08c	1100	914	191	387	184	323	152	140	1665	2440	1219	975	3976	3493	2459	1926
SPAC23G3.09	2019	1067	428	449	287	363	262	213	1026	1361	661	466	2316	2152	1438	1188
SPAC23G3.10c	1218	1051	212	673	158	437	158	188	762	1298	501	611	1703	2056	1059	1144
SPAC23G3.11	4597	3884	1079	2311	876	1472	863	1035	1105	1876	847	873	3348	3771	2348	2564
SPAC23G3.12c	1958	3052	333	1937	268	1207	218	721	1432	3705	882	1691	3299	6560	1908	4034
SPAC23H3.02c	3827	1081	369	452	603	321	299	216	235	395	215	127	559	583	367	295
SPAC23H3.03c	550	478	59	179	88	169	45	87	340	614	242	245	683	794	501	431
SPAC23H3.04	330	52	26	24	51	15	22	8	128	113	66	54	392	256	266	123
SPAC23H3.05c	99	361	5	165	12	199	5	57	282	891	207	423	912	1571	620	1023
SPAC23H3.06	1997	1240	321	608	348	454	287	243	1812	2804	1128	1070	3718	3732	2337	1891
SPAC23H3.07c	1544	1060	209	490	339	366	153	199	176	329	127	145	251	404	216	283
SPAC23H3.08c	254	163	35	57	43	53	22	21	134	242	95	92	346	448	213	209
SPAC23H3.09c	4283	8006	668	3517	712	2740	480	1239	896	3095	711	1667	2819	6545	1951	4520
SPAC23H3.10	1962	1714	305	656	349	676	227	261	699	1412	458	563	1619	1971	855	1018
SPAC23H3.11c	2	4	0.5	2	1	1	0.5	1	709	966	328	263	2030	1602	991	670
SPAC23H3.12c	475	233	61	75	96	88	53	25	312	401	143	163	574	490	298	258
SPAC23H3.13c	2304	1154	293	380	211	381	152	117	935	1211	722	537	1769	1599	1125	823
SPAC23H3.14	251	503	24	198	36	184	30	78	399	830	319	461	1134	1472	772	949
SPAC23H3.15c	100844	396	42547	311	3882	68	3713	54	11659	162	13367	55	11571	196	9065	207
SPAC23H4.01c	1544	1790	298	872	312	728	255	352	2406	4227	1560	2040	3836	5568	2242	2828
SPAC23H4.02	1663	415	241	170	282	161	154	61	1186	1312	1181	743	2517	1773	1847	1133
SPAC23H4.03c	3318	3059	439	1664	878	1194	510	699	436	1016	345	482	1278	1869	986	1299
SPAC23H4.04	82	216	13	84	10	50	5	33	442	967	301	500	595	1011	530	636
SPAC23H4.05c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	2	1	0.5	2	1	0.5	2	0.5
SPAC23H4.06	25361	16883	4054	7665	8561	8195	5742	2984	2520	3326	1996	1798	12916	7684	8298	5973
SPAC23H4.07c	1462	568	143	490	221	249	109	221	284	521	223	311	610	915	526	591
SPAC23H4.08	478	388	69	176	78	190	46	78	292	568	176	249	599	859	352	452
SPAC23H4.09	1208	3510	198	2085	198	1627	137	993	669	2700	370	1502	1395	5772	836	3939
SPAC23H4.10c	6697	13496	1492	7688	1031	4909	1212	2958	2580	7382	2130	4069	6588	13070	5110	9848
SPAC23H4.11c	75	71	7	19	14	22	7	10	102	225	52	98	196	283	130	167
SPAC23H4.12	1200	1185	147	593	248	443	119	257	1028	2011	746	1078	1594	2308	1096	1513
SPAC23H4.13c	308	281	60	105	66	133	59	57	232	368	150	190	423	555	316	278
SPAC23H4.14	880	538	120	217	130	198	80	85	1509	1947	959	874	2338	2468	1608	1228
SPAC23H4.15	535	2469	81	1127	92	861	37	357	819	3516	372	1301	1850	5401	860	2569
SPAC23H4.16c	301	89	39	57	48	30	23	18	336	533	283	196	978	1137	644	558
SPAC23H4.17c	205	155	17	50	21	60	9	24	397	585	260	236	691	787	537	387
SPAC23H4.18c	1468	597	190	287	241	258	111	93	165	197	113	98	397	401	288	279
SPAC23H4.21	120	128	25	107	36	83	17	35	9	45	10	27	44	98	21	54
SPAC24B11.05	19376	1236	4975	736	4276	552	3814	237	1701	328	1539	184	5976	579	4220	422
SPAC24B11.06c	5129	3576	923	1686	688	1306	655	677	1946	2737	1322	1160	4208	3982	2740	2303
SPAC24B11.07c	1104	1554	162	613	231	648	159	253	796	1733	439	703	1636	1998	716	1039
SPAC24B11.08c	1172	1189	130	469	186	389	101	172	515	925	425	455	1509	1758	854	1071
SPAC24B11.09	2764	1689	233	574	705	691	206	216	322	540	243	251	1180	934	562	494
SPAC24B11.10c	1805	1447	376	768	328	476	245	270	2258	3426	1407	1313	3563	3858	1908	1893
SPAC24B11.11c	2780	1120	566	674	607	424	610	261	1537	1515	1177	623	4294	2772	3148	1438
SPAC24B11.12c	4586	2531	1143	1187	834	809	894	378	2432	3446	1922	1340	7667	6977	5266	3945
SPAC24B11.13	2440	2642	252	916	370	1081	193	358	399	976	403	484	1446	1784	759	996
SPAC24B11.14	5	7	0.5	1	0.5	5	0.5	1	37	116	36	83	47	125	51	76
SPAC24C9.02c	950	253	102	254	169	124	83	103	398	600	300	391	786	934	540	666
SPAC24C9.03	4886	4030	927	3093	941	1607	715	1442	1186	2443	1163	1515	2817	3970	2134	2896
SPAC24C9.04	76	200	10	102	18	73	9	20	240	546	213	287	333	627	338	365
SPAC24C9.05c	1298	1192	251	592	226	476	155	231	963	1785	690	856	1778	2303	1060	1459
SPAC24C9.06c	45343	16700	12447	9115	5353	4750	5468	2236	9116	9381	10622	4661	21905	15107	16201	11333
SPAC24C9.07c	166	56	22	33	22	14	7	6	1053	1713	910	686	2305	2305	1724	1292
SPAC24C9.08	28009	6576	6235	3591	4497	1861	3852	1004	6833	3326	6945	1904	15520	5807	12754	4368
SPAC24C9.09	511	260	79	140	99	116	61	64	717	865	480	407	1255	1152	694	598
SPAC24C9.10c	1441	666	157	314	248	307	129	139	565	1001	440	388	1336	1413	872	893
SPAC24C9.11	365	767	53	306	59	256	36	146	868	1868	436	810	1551	2368	749	1062
SPAC24C9.12c	12436	61798	1425	37111	1666	27867	867	13024	2966	15212	3250	8831	9006	28821	6226	23639
SPAC24C9.13c	464	368	76	221	97	160	58	69	158	338	173	226	282	376	206	317
SPAC24C9.14	3022	786	376	362	329	371	246	156	1155	845	1053	474	1775	1156	1262	788
SPAC24C9.15c	25	24	4	8	2	7	2	3	108	153	58	76	49	86	34	78
SPAC24C9.16c	4296	1542	836	891	668	618	569	363	26	41	29	18	94	78	40	53
SPAC24H6.01c	896	831	124	326	123	237	86	112	372	747	289	345	750	1036	484	599
SPAC24H6.02c	244	308	30	113	49	110	19	59	153	402	111	152	314	463	185	243
SPAC24H6.03	494	532	96	262	86	185	87	96	1053	1783	599	690	1731	2218	1230	1160
SPAC24H6.04	11237	12453	3017	7970	1810	4949	1953	2778	1792	3726	1868	1977	7031	8529	5841	6907
SPAC24H6.05	1386	1127	238	529	288	543	200	218	629	1335	476	506	1581	1955	661	1065
